ApplicantID,Industry,CompanyName,JobDescription,Position,Salary,YearsOfExperience
18305,finance pembiayaan kendaraan bermotor,astra credit companies,memberikan simulasi hitungan kredit mobil kpd calon konsumen mensurvey calon debitur kerumah mewawancarai dan meminta dokumen sbg persyaratan kredit mengecek kelaikan kendaraan sebelum dijual oleh pihak showroom menjaga hubungan baik dengan showroom dealer dan konsumen yg telah menjadi kreditur demi kelangsungan bisnis,credit marketing officer cmo,5000000,0
18311,travel agent agency agency agency,pt mulia prima permai pt arina multi karya pt arina multi karya pt arina multi karya,handle customerprepare document will bring to imigration pic tempo scan pacific handle sales payroll report collect data set schedule for manager correspondence report pic huawei tech report handle promotors payroll recruitment,admin pic admin pic,4250000,2
18316,manufacturing,pt tempo utama sejahtera,correspondencefillingarrange reservation hotel ticketingpetty cashcontrolling making purchase request making the monthly reportsupervising letter admin office boy,office admin secretariat,4650000,0
18320,perbankan perbankan ,pt bank central asia pt bank index selindo,job desc memposting transaksi financial nasabah menginput sknbi dan rtgs menginput kliring menginput pembayaran pajak menjalankan customer engagement handling komplain nasabah menghitung persediaan uang kas di brankas menjalankan transaksi remittance job desc memposting transaksi financial nasabah menginput sknbi dan rtgs menginput kliring menginput pembayaran pajak menjalankan customer engagement handling komplain nasabah menghitung persediaan uang kas di brankas menjalankan transaksi remittance,frontliner frontliner,4000000,3
18325,it solution fmcg fmcg,ptberca hardayaperkasa pthm sampoerna tbk pthm sampoerna tbk,maintenace computer user project migration os in pt hm sampoerna tbk project hcpt tri carnaval maintenance computer support sales department support analyst supervisor distribution product consultan user promotor,desktop support engineer retail administtrator retail engagement executive,4440000,5
18330,services,pt sinotrans csc indonesia,posting jurnal transaksi harianmembuat report harian mingguan dan bulananmensubmit data customers untuk export import,accounting staff document staff,3800000,3
18335,hiburan ,pt trans rekreasindo,membuat konsep proposal anggaran dan presentasi suatu acara atau event,marcomm event,3800000,0
18338,it,pt bits miliartha,manage creative social media content create graphic designs make motion graphics make videos and analyze traffic lead customer,design and social media marketing,2200000,0
18339,steel,pt barata indonesia persero,it suport yang bertugas membantu karyawan perusahaan yang mengalami permasalahan dalam mengoprasikan perangkat it baik hardware maupun software serta membantu divisi lain dalam melakukan kerja yang berkaiatan dengan perangkat komputer,staff magang biro management system,0,0
18351,pelayaran,pt sinar maluku shipping line,saya bertanggung jawab dalam hal menerbitkan faktur pajak pelaporan spt masa ppn pph dan pph serta membuat perhitungan pph atas jasa keagenan kapal,tax staff,4200000,0
18355,operator telekomunikasi seluler,pt xl axiata tbk,pekerjaan operasional seperti memprovide data untuk dijadikan report mingguan handle case customer develop web sederhana untuk kebutuhan internal dll,postpaid operation,4000000,0
18369,facility service,pt iss indonesia,memeriksa panel listrik pada setiap lantai menghidupkan ahu memeriksa ac inverter di setiap ruangan memanaskan dan merawat genset mengisi solar air radiatornya melakukan perbaikan pada sesuatu yang rusak di kantor,teknisi building,3900000,0
18371,otomotif distributor jual mesin dan peralatan usaha ,pt niaga energi otomotif pt deprintz sukses sejahtera,tugas memasarkan produk aki secara retail kepada konsumen sesuai sop melakukan maintenance produk aki secara berkala menerima dan menangani komplain produk dari konsumen ketika belum masa usia pakai mengelola kas geraiwewenang mengambil keputusan secara langsung ketika menghadapi komplain membuat strategi pemasaran dalam bulantanggung jawab memastikan pemasaran produk berjalan sesuai target dari perusahaan membuat laporan penjualan setiap minggu melakukan kontrol stok barang dan order barang sesuai kebutuhan gerai menyetorkan hasil penjualan setiap minggu tugas merencanakan dan membuat deskripsi produk baru dan produk lama untuk di upload pada website perusahaan melakukan pembuatan modul produk baru dan produk lama melaksanakan dan membuat bep break even point untuk produk baru dan produk lama membantu divisi sales saat ada kesulitan menjelaskan produk pada konsumenwewenang mendelegasikan daftar harga produk lama dan baru dari supplier ke bagian admintanggung jawab melakukan pengembangan produk baru dan produk lama memberikan training setiap produk pada divisi sales menjalin hubungan baik kepada supplier lama maupun baru membuat laporan kerja setiap hari,marketing teknik produk spesialis,3650000,1
18376,pariwisata otomotive pariwisata,pt jungleland asia pt plaza auto prima pt puri indah mandiri lestari,mengelola team untuk mencapai target yang ditentukan perusahaan dengan membuat strategi dalam penjualan presentasi kepada konsumen mengelola event memberikan training produk knowledge kepada sales baru maupun lama membuat report harian mingguan dan bulanan dan membuat action plan menjual semua tipe mobil toyota mengelola team untuk mencapai target yang ditentukan perusahaan offline online dengan membuat strategi dalam penjualan membuat promo paket online maupun offline dll presentasi kepada konsumen mengelola event memberikan training produk knowledge kepada sales baru maupun lama membuat report harian mingguan dan bulanan membuat action plan,spv sales executive spv,5333333,15
18379,kesehatan jasa pertukangan,rumah sakit islam yigyakarta pdhi pt manunggal jasa investindo,web programmer for developer information system of hospitalit support for hardware software web programmer dan android programmer for develope panggiltukang app,programmer programmer,2625000,1
18385,education information techonology,yayasan pendidikan almuslim sidoarjo pt wolacom,troubleshooting jaringan hardwaredevelop aplikasi android sistem monitoring siswa menangani backend developing primary menangani frontend secondary,it staff programmer,2600000,4
18390,distributor pakan ikan penyedia jasa outsourcing distributor cat,pt asnaya anugerah abadi pt cahaya utama pt bandartrisula,dapat mengoperasikan accurate input mutasi bank utk merk pakan ikan input pembelian dan penjualan barang utk merk pakan ikan menghitung biaya perjalanan dinas karyawan menghitung kas kecil tiap depo menghitung insentif sales setiap hari jumat mengemail rincian piutang customer masing masing sales mengurusi hal hal penunjang kegiatan sales seperti fasilitas mobil dan hp untuk karyawan setiap awal bulan membuat konfirmasi piutang filling document membuat laporan keuangan setiap bulan menggunakan program accounting accurate menerima dan melakukan pengecekan terhadap rekapitulasi data keuangan dari kasir untuk memastikan kebenaran perhitungan jumlah melakukan penginputan transaksi kas dan bank yang meliputi pemindahbukuan pelunasan piutang pembayaran hutang baik bank supplier pembayaran pajak dan bpjs pembayaran gaji karyawan pusat dan tenaga outsourcing dll melakukan penginputan transaksi penagihan dan memastikan ppn keluaran sudah sesuai memvalidasi keperluan purchasing agar dapat dibukukan di program melakukan cocokkan ppn masukan keluaran pph pph dengan data dari staf pajak mengumpulkan data pendukung untuk memastikan setiap saldo akun di laporan keuangan sesuai membuat laporan keuangan dan melaporkan ke owner setiap tgl setiap bulan memeriksa laporan pph antara lain pph pasal pasal dan pasal yang diberikan oleh cabang dan holding mencocokkan data gross up pph dengan spt yang dibuat mencocokkan data rekonsiliasi pph dengan saldo akun di jurnal mengarsip spt dan bukti pph yg dikirim oleh seluruh cabang mengontrol pelaporan dan pembayaran pajak pph setiap bulan membuat jurnal untuk laporan keuangan fiskal memeriksa kas harian laporan bank program marketing yg berhubungan dengan laporan keuangan cabang yg saya pegang membuat laporan keuangan cabang tanggal setiap bulannnya,accounting staf spv accounting accounting tax staf,3666666,3
18391,building management,pt dwijaya manunggal,menghandle media promosi dari semua tenant mall royal plaza seperti perijinan spanduk brosur dllmenghandle media branding seperti stiker eskalator baliho neonbox dllmanaging social media royal plaza seperti instagram facebook serta aplikasi chat whatsapp resmi dari royal plazamengkoordinir event yang dilaksanakan di area royal plazamengatur sirkulasi budgeting dalam departemen promosimenjalin relasi dengan persmembuat majalan bulanan royal plazamembuat artikel mengenai royal plaza untuk buletin bulanan pakuwon group yang bernama de link,media relations,4000000,0
18392,otomotif,wahana honda,,sales admin,4000000,0
18396,perbankan,resona perdania,menangani keluhan nasabah terkait aplikasi internet bankingmelalui telepon email dan secara langsung membuat instruksi kerja tentang laporan dan aplikasi internetbanking sosialisasi cara penggunaan aplikasi internet banking ke nasabahbaru membuat laporan terkait transaksi nasabah berkoordinasi dengan vendor terkait perbaikan dan pembaruandari aplikasi internet banking,it helpdesk,5450000,0
18400,broadcastmedia airlines tourism translatorinterpreter,pt net mediatama televisi garuda indonesia contact center pt tama putera wisata freelance translator,make and design tv program from pre production in production until post production make content airline rules schedule promotions news etc for garudazone com as guideline for contact centre officer make content and recommendation tour for tourists marketing of the travel company passive japanese indonesia and indonesia japanese translator passive active english indonesia and indonesia english translator,production creative content management tour consultant translator,3825000,3
18401,pendidikan ,ganesha operation ,melayani pendaftaran siswa baru dan menjelaskan prosedur pembelajaran serta mengatur keuangan pendaftaran serta uang yg akan di setorkan ke bank,customer service dan admin,4000000,0
18402,media media,kaori nusantara kaori nusantara,works as freelance journalist responsible for creating news article and conduct interviews with prominent figures of japanese animation and pop culture also responsible for field coverage on anime manga japanese pop culture events and conventions takes part in some of video interviews reports and features promoted to senior staff in responsible for maintaining the server and website for kaori nusantara www kaorinusantara or id takes major part in developing kaori nusantara knowledge base and creating its standard operations procedure sop,staf direktorat pemberitaan staf direktorat operasi sarana dan teknik,0,0
18404,management property,suncity mall madiun,memahami dan menjabarkan kebijakan manajemen ke dalam rencana kerja gedung menggiatkan program program improvement seperti misalnya sda dan lain lain di lingkungan gedung berpartisipasi dan berperan aktif dalam kegiatan kegiatan khusus yang diselenggarakan oleh manajemen memberikan arahan sistem dan management operasional gedung berupa sop job description sistem pembuatan laporan bulanan formulir operasional building information membantu pihak owner berupa masukan teknis untuk pengembangan gedung memberikan masukan kepada owner hal hal yang berhubungan dengan sumber sumber pendapatan yang menunjang operasional serta masukan tentang pentingnya efektifitas biaya operasional gedung memberikan masukan kepada owner dalam hal kebijakan yang berhubungan dengan operasional gedung serta memberikan saran dan mengimplementasikan peraturan aspek legalitas yang berhubungan dengan sewa menyewa unit menyusun rencana kerja dan anggaran tahunan membuat perencanaan penghematan biaya operasional membuat jadwal perawatan rutin tahunan membuat rencana modifikasi up grading dan penyempurnaan sistem serta sarana gedung membuat perencanaan jadwal inspeksi rutin tahunan mengenai kelayakan penggunaan sarana dan fasilitas gedung,building operasional manager,15000000,5
18409,newspaper association food and beverage offshore property,serikat perusahaan pers pusat pt rekso nasional food mcdonalds indonesia head office pt limin marine  offshore a limin group of companies pt indonesia ferry properti,job duties review and verify invoices charges expenses to accounts and cost centers by analyzing invoice recording entries pays vendor by monitoring discount opportunities pays employee by receiving and verifying expenses reports and request for advance prepare payments by accruing expenses assigning account number requesting disbursement reconciling accounts forecast cash flow positions related borrowing needs and fund available for investment prepare petty cash report update and review bank statement generate and send out invoices review account receivable aging to ensure compliance facilitate payment of invoice due by sending bill reminders and contacting clients reconciling account receivable ledger research and resolve payment discrepancies prepare general ledger entries by maintaining records and files reconciling accounts provides management with financial information by researching and analyzing accounts preparing financial statements report detailing account receivable status develops and implements accounting procedures recommending changes assist with month end closing prepare documentation for external auditors job duties update and review bank statement generate and send out invoices review account receivable aging to ensure compliance facilitate payment of invoice due by sending bill reminders and contacting clients reconciling account receivable ledger research and resolve payment discrepancies prepare delivery petty cash cash advance and back up money store upload notification delivery petty cash store prepare sales deposit prediction and actual sales deposit received forecast cash flow positions related borrowing needs and fund available for investment upload employee salaries journal maintain banking relationship maintain system of policies and procedures that impose an adequate level of control over treasury activities supporting giftcard project job duties review and verify invoices charges expenses to accounts and cost centers by analyzing invoice recording entries pays vendor by monitoring discount opportunities pays employee by receiving and verifying expenses reports and request for advance input to internet banking prepare payments by accruing expenses assigning account number requesting disbursement reconciling accounts prepare general ledger entries by maintaining records and files reconciling accounts maintains and balances an automated consolidation system by inputing data scheduling required jobs verifying data prepare intercompany transaction report maintain intercompany account payable and account receivable aging upload general journal adj forex interest inject fund bank charge job duties review and verify invoices charges expenses to accounts and cost centers by analyzing invoice recording entries pays vendor by monitoring discount opportunities pays employee by receiving and verifying expenses reports and request for advance prepare payments by accruing expenses assigning account number requesting disbursement reconciling accounts forecast cash flow positions related borrowing needs and fund available for investment prepare petty cash report generate and send out invoices review account receivable aging to ensure compliance facilitate payment of invoice due by sending bill reminders and contacting clients reconciling account receivable ledger research and resolve payment discrepancies prepare general ledger entries by maintaining records and files reconciling accounts develops and implements accounting procedures recommending changes,finance and accounting staff treasury staff finance and accounting officer finance and accounting staff,6453750,4
18416,rumah singgah food and beverages  cyber cafe,yayasan rumah singgah anak berbakat rsab nyonya cemil langen sari icafe,job desk memastikan komputer berfungsi dengan baik agar bisa dipakai oleh anak anak dari rumah singgah memastikan koneksi jaringan terhubung memeriksa aplikasi aplikasi yang akan dipakai oleh anak anak rumah singgah berfungsi dengan seharusnya selalu mengecek dan memastikan sistem operasi dan aplikasi aplikasi ter update setiap ada pembaharuan mengecek dan membersihkan perangkat perangkat keras hardware bertanggung jawab juga pada perangkat peripheral seperti printer scanner dsb bertugas melakukan backup data terhadap semua data pada komputer agar aman jika sistem error harus melakukan restore data dari data yang sudah dibackup memastikan data yang didalam komputer tidak dapat dibaca atau diambil diluar izin rsab menjaga keamanan data dari virus dengan sering scanning virus menggunakan antivirus bertugas mengecek dan memperbaiki perangkat perangkat sewaktu waktu ada masalah pada komputer atau jaringan mengelola buku harian mengisi data entry perusahaan membuat laporan persediaan barang terima dan membalas mail dan telepon masuk memesan persediaan alat tulis kantor membersihkan fasilitas fasilitas yang ada memastikan bahwa fasilitas berjalan dengan baikruangan harus bersih rapimencatat laporan harianmemberikan dead line untuk jadwal perbaikanpada akhir jam operasi wajib membersihkan ruangan dan fasilitas fasilitas interior harus bersih dan penampilan op harus rapi,it supp admin operator,1083333,2
18417,developerproperty,pt ciputra mitra lestari,membuat ppjb menjaga hubungan baik dengan notaris bank dan pemerintahan mempersiapkan dokumen dokumen untuk akad kredit dokumen dokumen yang di persiapkan untuk notaris dan divisi departement lain di perusahaan menjadi mediator antara konsumen dan perusahaan membuat laporan bulanan membuat legal drafting dan problem solving untuk perusahaan,legal officer,5481000,0
18424,migas jasa hukum,pt eastern logistics  lamongan shorebase legal plus, legal inhousekonsultan perijinan,hr legal legal inhouse,3800000,1
18425,telecomunication oil and gas geothermal,pt tunas graha servindo starenergy kakap ltd starenergy geothermal indonesia,installing computer back up data and deploy computer to all user starenergy kakap filling document monitoring server create pr po in sap application support support all user monitoring network project printer mps memastikan junior bekerja dengan baik filling document support project it application support analisa kebutuhan it,it support junior helpdesk senior it helpdesk,6466666,4
18433,aquaculture and manufacturing percetakan dan digital printing  travel and tourism  food and bacery distributor,pt matahari sakti  restu fotocopy  print digital  asia tika tour and travel pt arvian tiga putra,admin it support di pt matahari sakti november november spesialis pada beberapa bidang administrasi perangkat keras komputer filling data update komputer trobleshooting komputer software dan hardware maintenance cctv dan pabx maintenance lan dan jaringan operasional windows server jual beli sparepart komputer dan printer service printer pencapaian dan prestasi membuat admistrasi data pusat komputer pada perusahaan spesialis di bidang penanganan troblesolving komputer software maupun hardware penanganan jaringan tcp ip lan wireless maintenance cctv pasang baru atau perbaikan desain banner dan cover buku serra desain kreative lainnya pencapaian dan prestasi membuat topologi jaringan baru adimistrasi dan filling data komputer update terbaru pemasangan sistem keamanan pada toko dengan menggunakan cctv service berkala pada komputer dan printer checklist berkala kegiatan side job sebagai tour guide keahlian dan pencapaian kegiatan management hotel tour and travel sopir dan guiding tamu lokal dan mancanegara management event gathering company mengetahui referensi hotel di surabaya bromo dan kawah ijen pengelolaan tour and travel jawa bali penanganan troblesolving komputer software maupun hardware penanganan jaringan tcp ip lan wireless maintenance cctv pasang baru atau perbaikan update dan maintenance software database nd dan pengoperasian serta approval porgram database editing website via wordpress setting dan service printer setting database dengan menggunakan program voxpro menyediakan laporan sales anaylisis dan laporan pembelian membantu rekap absensi untuk gaji karyawan pencapaian dan prestasi membuat topologi jaringan baru adimistrasi dan filling data komputer update terbaru pemasangan sistem keamanan pada toko dan kantor dengan menggunakan cctv service berkala pada komputer dan printer checklist berkala membangun active directory baru di windows server,admin it support it staff tour guide general it,3225000,2
18437,automotive property automotive alternative trade,honda istana bandung raya motor istana group honda sonic bandung equityworld futures,selling honda cars and making good relationships with customers selling apartment rooms and making good relationships with customers selling honda cars making good relationship with customers collect data on customers that want to do car services and making insurance claims looking for people who want to have business in trading and educate them to make profits from it,sales executive marketing sales executive body paint administration business consultant,2025000,0
18441,kesehatan,rs umum bunda sidoarjo,melakukan troubleshoot komputer printer dan jaringanmelakukan instalasi jaringaninstalasi komputermengelolal mikrotik cctv databasemengontrol tinta printermelakukan pembuatan desain graphic,staff it,2300000,0
18458,legal company,gama cipta consultan,mengurus pendaftaran hak merk dan paten melalui dirjen hki dan mengurus surat balasan terhadap instansi pemerintah surat balasan merk dan paten,legal staff,4000000,1
18460,media televisi,lpp tvri jakarta,pada november hingga februari saya melaksanakan program pkl di lpp tvri sebagai humas berikut deskripsi mengenai tugas tugas sebagai humas selama program pkl di tvri pengarsipan dokumen dan kliping membina sekaligus menjadi pemandu bagi peserta kunjungan sma smk mengelola surat masuk dan surat keluar ekspedisi surat undangan atau kiriman ke setiap divisi lpp tvri konseling tamu melayani pembuatan id card lpp tvri,humas internship,0,0
18480,social enterprise entertainment,ycab foundation nens corner pub  resto,daily operational with team dan supervisionmake budget planmaking good relation with local partner governor principal make sop daily operation briefing maintenance controler reportingdeal with sponsor and make eventmaintenance relationship with governor and department governor,supervisor operational project manager manager operational,5000000,3
18488,perbankan,pt bank bni,melalukan penjualan dan pelanyanan kepada nasabah yang datang ke cabang dan melakukan administrasi yg baik dan rapi melakikan crossieling dan up selling dalam penjualan produk tabungan,customer service officer,4900000,6
18489,media broadcasting,pt cakrawala andalas televisi,bertanggungjawab pada segment di program besar atau menjadi producer utuh pada skala program kecil mengkoordinir pembuatan dan pengembangan ide ide program yang sesuai dengan tema konsep yang telah ditentukan oleh ep atau production manager mengkoordinir proses produksi dari suatu program termasuk memproduksi program reguler atau series melakukan seleksi atau mengambil keputusan atas pemilihan performer artis creative script dan penentuan format produksi setelah mendapat persetujuan dari production manager dan ep agar diperoleh hasil produksi sesuai yang telah ditentukan melakukan order fasilitas tehnik dan peralatan shooting schedule shooting dan rehearsal memastikan bahwa program yang dibuat sesuai dengan standard kualitas produksi melakukan koordinasi dengan departemen penunjang dari sebuah program seperti traffic promotion programming sales production support dan lain lain,associate producer,7900000,0
18492,marketing research ,pt markplus indonesia,melakukan verifikasi dokumen calon mitramengirimkan email pemberitahuan kepada calon mitra membuat realisasi dokumen keuangan,admin,2500000,0
18516,internet data center pemerintahan,pt telkom akses kediri pt teknovatus solusi sejahtera dinas komunikasi dan informatika kota surabaya,melakukan pemasangan jaringan internet fiber optikmaintenance fiber optikupdate database pelanggan monitring data center facility hardware internet system maintenance and support data center facility melakukan pemasangan jaringan internet dan cctv di kantor pemerintahan perawatan infrastruktur jaringan internet dan cctv,it technician internship network operating center teknisi jaringan dan cctv,2500000,0
18532,kosmetik perdagangan perdagangan perdagangan property it,pt lautan rejeki abadi crrante cosmetics pt grainland pt straits bullion pt sarana cipta intinusa pt graha investama bersama pt konekthing benda pintar,as marketing administration my responsibilities included make report of sales by day week and month update claim promo from outlet salon in all ar follow up pending claim promofrom outlet salon in all ar data filling make report to rsm nsm gm and director as marketing administration my responsibilities included manage schedule administrative task arranging travel visa and accommodation and occasionally travelling with the manager to take notes or dictation at meeting or to provide generan assistance during presentation creating invoices sales contract and requesting of quotations from vendors make report of sales and wheat shipment handling bpjs ketenagakerjaan maintain petty cash monthly petty cash report liasing with clients suppliers and other staff maintain and compile import files in good order data filling as business development my responsibilities included planning implementing promotional campaign make report of weekly sales transaction preparation of sales proposals for customer maintain and compile file of business associate maintain relationship with internal external parties identifying potential customers and targeting them helping to write and implement digital marketing plans email blast price update to all customers make report to director as finance tax administration my responsibilities include input all transactio billing and money collection support maintain petty cash monthly petty cash report make faktur pajak for every sales transaction make spt pph spt masa ppn every month support accounting and tax manager to process report and evaluate tax matters related to tax law as marketing support administration my responsibilities include preparing the administration of payment either cash advance or incentive and allowance for field force to support the smooth activity of sales marketing team events coordination between company and supplier vendor handling and maintain marketing material procurements process handling commission calculation coordination between department related to all marketing activity assisting the marketing manager and sales team to manage event gathering exhibition etc as hr ga administration my responsibilities included handling recruitment and selection procces implement employees administrative proces eficiently employee attendance leave mantain employee data benefits etc handling bpjs ketenagakerjaan kesehatan record and mantain company assets provide office facilities office stationery chairs tables etc manage of all operational that company needed vehicle hotels etc,admin marketing marketing ga administration business development staff finance tax admin marketing support administration hr ga administration,3783333,2
18552,manufaktur advertising telekomunikasi telekomunikasi,ptdharmapolimetal printworld digital printing pttunas graha servindo ptswatama mega teknik,troubleshooting sistem komputer dan jaringan monitoring perawatan sistem komputer dan jaringan instalasi dan konfigurasi sistem operasi dan aplikasi pemasangan jaringan baru upgrade hardware pc inventaris kantor troubleshooting sistem komputer dan jaringan upgrade hardware pc inventaris kantor monitoring perawatan sistem komputer dan jaringan instalasi dan konfigurasi sistem operasi dan aplikasi pemasangan jaringan baru memproses data dari team lapangan sebelum di submit ke vendor melakukan update dokumen dan database troubleshooting sistem komputer dan jaringan monitoring perawatan sistem komputer dan jaringan instalasi dan konfigurasi sistem operasi dan aplikasi troubleshooting sistem komputer dan jaringan monitoring perawatan sistem komputer dan jaringan instalasi dan konfigurasi sistem operasi dan aplikasi mengelola petty cash untuk keperluan project area jatim bali lombok memastikan efisiensi biaya operasional project area jatim bali lombok membuat laporan absensi karyawan melakukan pengadaan alat tulis kantor mengurus kelengkapan izin untuk akses ke site operator memproses data dari team lapangan sebelum di submit ke vendor,it operational teknisi it document control admin project,1250000,1
18553,telecommunication telecommunication telecommunication telecommunication,telkomsel telkomsel telkomsel telkomsel,serving customers directly based on their needs providing products solving their problems fulfilling their needs handling their complaints etc leading the team adjusting and creating schedule monitoring service activity handling customer conplaints making report etc supporting service quality staff by providing data attending meeting and making minutes of meeting mom participating in regular audit distributing merchandise and other items to all area making report daily weekly and monthly monitoring service activity in area scope supporting service quality staff by providing data daily weekly and monthly making mom when meeting participating in reguler audit monitoring service activity in regional scope,customer service team leader admin service quality area admin service quality regional,4750000,3
18563,transportasi,pt bluevisions management,job desk saya adalah mengaktifkan akun driver agar dapat dioperasionalkan,frontliner activator,4500000,0
18564,startup cathering jasa,pt jejaring makanan indonesia  cv kharisma indah,melakukan pengawasan di dapur mitra mengecek kondisi perlengkapan dapur beserta pegawai dapur sesuai sop mengecek perlengakapan packaging cathering box sendok tisu greeting card plastik sesuai sop dan penggunaannya membuat laporan harian dan berkoordinasi dengan tim lain melalui grup whatsapp membuat surat jalan surat keterangan surat kuasa dll membantu pegawai lain jika dibutuhkan,operational staff intern staf administrasi,2500000,1
18567,applikasi,pt gojek indonesia,,driver gocar,5000000,0
18568,jasa asuransi,pt asuransi artarindo,menjaga hubungan baik dengan nasabah group pt asuransi artarindo mencari nasabah baru atau kerjasama dengan dealer bank leasing maupun perorangan membuat laporan produksi bulanan mengevaluasi kinerjhaja teman teman divisi marketing,supervisor,6500000,5
18571,jasa konstruksi,pt mecca indo perkasa,membuat laporan membuat surat jalan membuat arsip menata pemasukan dan pengeluaran perusahaan mengelola dokumen yang dibutuhkan ketika supervisor akan pergi ke luar kota,staff administrasi,2000000,0
18579,advertising,pt imaje,,desain office,3900000,3
18580,elektronik ecommerce,pt samsung electronic indonesia jdid,po process from so to billing return process store visit making daily report connection with buyer berhubungan dengan dealer supplier negosiasi harga support dan qty sales ke end user trader project maintenance produk buat promo mingguan bulanan setting harga,sales support assistant merchandiser home appliance,7850000,3
18581,elektronik perbankan,pt xacti indonesia pt bank mandiri persero tbk,menganalisa lensa sebelum diproduksi melayani nasabah mengelola kas melayani setor tarik transfer dll,qc frontliner,3700000,0
18590,distributor atk,pt young multi sarana,membuat website commerce mmstationary untuk perusahaananggota tim marketing online maintenance hardware software dan jaringan di kantormaintenance printer,it support,3600000,0
18591,layanan pembayaran elektronik,pt witami tunai mandiri,visit agen fundin topup saldo agen branding dan edukasi remitance kirim uang ke agen,sales representative,5400000,0
18594,shirt screen and digital printing voip telecommunication,cv gheeko clotch pt gaharu sejahtera,design of the object to be printed on the shirt working as technical support includes the installation configuration and maintenanceof voip server network devices,design technical support,3150000,5
18601,amplop,royal standard,,supervisor,8000000,10
18602,hospitality,pt imperium happy puppy,memastikan sop outlet berjalan mensupervisi team untuk visi misi outlet membuat program kerja mingguan hingga smester memastikan kesehatan outlet dari operasional hingga back office,supervisor,6000000,1
18603,sistem informasi dan jaringan,pt visionet data internasional,melakukan pengecekan ke klien mesin edc,service area engineering,2500000,0
18607,camp service maintenance entertaimentmedia jasa logistik,pt indocater pt global informasi bermutu pt nusantara card semesta,membuat jadwal psikotest dan interview mengundang psikotest dan interview para kandidat memberikan psikotest scoring hasil psikotest membuat rekapan hasil rekrutmen melakukan pengecekan laporan pertanggung jawaban melakukan rekap compile budget melayani dan memberikan solusi terhadap keluhan customer melakukan pengiriman luar negeri mengurus dan mendaftarkan asuransi untuk kiriman kiriman mengerjakan report bulanan,admin training recruitment operational budget officer internship customer service,2000000,0
18610,perbank,bank mandiri,melayani debitur bank mandiri dalam produk tabungan kredit,marketing,4000000,0
18613,konsultan pajak elektronic,pt duta penata usaha  pt niko elektronik indonesia,mengerjakan pembuatan jurnal sampai dengan laporan keuangan laba rugi dan neraca hingga menyusun rancangan pajak pph ayat pph spt tahunan op dan badan menghandle pajak milik pt niko group yaitu pt buana mastronika pt bintang mustika sejahtera cv intan berlian pt mulia cemerlang indonesia cv mulia indah dimana kelima ini bergerak di bidang elektronik dan pt fuchuan land development indonesia yang bergerak di bidang property mengerjakan pph pph pph pph ppn spt tahunan op badan khusus pt fuchuan di thn membuat jurnal hinggal laporan keuangan laba rugi dan neraca spt tahunan badan,tax assistant tax,4500000,0
18615,computer teknologi informasi dan komunikasi,cv infra computer pt karya eka kalbu,teknisi komputer dan laptop mereparasi kerusakan hardware dan software pada komputer dan laptop troble shooting maintenance aplikasi milik client troble shooting maintenance komputer client training aplikasi kepada client membantu pemasaran aplikasi kepada publik,staff teknis staff it support,2150000,3
18617,life insurance distributor jewelry manufacturing and retail,pt aj sequis life pt tigaraksa satria tbk pt central mega kencana,preparing daily reports status investment of unit linksdaily bookeeping of bussiness receiptbank reconciliation reconciliation of unit link income creating and preparing sopupdating and following up the implementation of sopauditing the sop implementation monthly stock opnameauditing store cashflow and salesbank reconciliationpreparing store financial report of profit and losspreparing year end stock report,accounting staf internal auditor accounting staff,5833333,1
18624,air minum dalam kemasan,ptatlantic biruraya,bertanggung jawab atas program promosi yang meliputi program edukasi roadshow utk mempromosikan produk program event eksekusi event internal maupun eksternal,koordinator marketing promosi event,4500000,0
18632,layanan umum law firm,pengadilan negeri malang musnan sh mhum and partners ,mengalisa langsung proses dan tahapan penyelesaian sengketa diluar pengadilan non litigasi melalui jalur mediasi mengamati dan mempelajari cara melakukan mediasi yang baik dan benar mempelajari cara mendamaikan para pihak dalam mediasi dengan memberikan win win solution secara adil bagi kedua belah pihak mendampingi advokat dalam menyelesaikan kasus baik di dalam pengadilan atau luar pengadilan membuat dan menyusun berkas yang dibutuhkan advokat menjalankan perintah advokat untuk bertemu baik klien maupun pihak lain notaris bpn pengadilan,magang staff advokat,750000,0
18635,otomotif,pd setia kawan motor ciledug,job desk membina hubungan baik dengan konsumen memfollow up konsumen ro agar dapat melakukan repeat order mengingatkan jadwal servis konsumen menjembatani kebutuhan konsumen terhadap dealer maupun kebutuhan konsumen terhadap main dealer memanagemen data follow up sales,pic crm,2000000,0
18637,outshorcing rentcar,pt sarana mitra sempurna pt galang insan pratama, ,driver driver,3177500,3
