JobID;JobTitle;DescriptionRequirement
1209;legal staff;membuat konsep dan koreksi surat surat perjanjian kontrak kerjasama dan yang sejenisnya pendidikan minimal hukum fresh graduate berpengalaman usia maksimal tahun membuat konsep dan koreksi surat surat perjanjian kontrak kerjasama dan yang sejenisnya siap kerja under pressure penampilan menarik penempatan surabaya
1210;marketing (bali);mencari para calon klien yang prospektif mengembangkan dan merealisasikan rencana penjualan dan tergetnya melakukan penawaran harga dan negosiasi dengan klien dll usia maksimal tahun pendidikan minimal semua jurusan memiliki pengalaman bekerja minimal tahun dibidang yang sama memiliki networking yang luas memiliki kendaraan sendiri lebih diutamakan memiliki sim lebih disukai penempatan kuta bali
1211;administrasi (marketing);email penawaran perpanjangan dan follow up perpanjangan koleksi cek dan email foto recovering cek pembayaran dan follow up ke klien usia maksimal th lulusan minimal semua jurusan pengalamn min thn cekatan rapi sesuai deadline menguasai ms office
1212;programmer staff;bertanggung jawab dalam menjalankan operasional program meintenance software usia maksimal tahun pendidikan teknik informatika komputer menguasai hardware software dan pemograman pengalaman minimal tahun sebagai programmer fresh graduated welcome bisa bekerja dalam team komunikatif inovatif dan memiliki inisiatif
1213;marketing (surabaya);mencari para calon klien yang prospektif mengembangkan dan merealisasikan rencana penjualan dan tergetnya melakukan penawaran harga dan negosiasi dengan klien dll usia maksimal tahun pendidikan minimal semua jurusan memiliki pengalaman bekerja minimal tahun dibidang yang sama memiliki networking yang luas memiliki kendaraan sendiri lebih diutamakan memiliki sim lebih disukai penempatan surabaya
1214;income & account receivable;tanggung jawab pekerjaan memastikan harga corporate harga travel agent harga government diposting sesuai contract rate dapat menggunakan bertanggung jawab atas mesin edc memastikan invoice yang akan dikirim lengkap dan sesuai dengan ga atau gl membuat ar aging report dan ar reconciliation bulanan mempersiapkan jurnal penjualan wanita usia max tahun pendidikan min akuntansi berpengalaman dibidang income ar minimal tahun penempatan surabaya timur
1215;sekretaris direksi;membantu kelancaran pelaksanaan tugas pimpinan dalam melaksanakan kegiatan operasional perusahaan yaitu melaksanakan administratif surat menyurat dan pengarsipan melaksanakan persiapan bahan kerja melaksanakan pengaturan jadwal agenda kegiatan pimpinan melaksanakan notulensi dalam kegiatan rapat berkala pimpinan usia maksimal tahun pendidikan min pengalaman kerja minimal tahun dibidang yang sama lebih disukai berpenampilan menarik sopan rapi inisiatif tinggi dan komunikatif mampu bekerja secara multitasking memiliki time task management yang baik mampu bekerja dengan target dan deadline pekerja keras dan tahan terhadap tekanan memiliki disiplin dan etika yang tinggi
1216;sekretaris direksi;membantu kelancaran pelaksanaan tugas pimpinan dalam melaksanakan kegiatan operasional perusahaan yaitu melaksanakan administratif surat menyurat dan pengarsipan melaksanakan persiapan bahan kerja melaksanakan pengaturan jadwal agenda kegiatan pimpinan melaksanakan notulensi dalam kegiatan rapat berkala pimpinan usia maksimal tahun pendidikan min pengalaman kerja minimal tahun dibidang yang sama lebih disukai berpenampilan menarik sopan rapi inisiatif tinggi dan komunikatif mampu bekerja secara multitasking memiliki time task management yang baik mampu bekerja dengan target dan deadline pekerja keras dan tahan terhadap tekanan memiliki disiplin dan etika yang tinggi
1217;marketing software;memasarkan produk ke semua instansi perusahaan komunitas lembaga all client negosiasi meyakinkan dan memotivasi client melakukan edukasi mengenai produk produk perusahaan presentasi produk membina hubungan baik dengan client pendidikan min teknik informatika usia max tahun pengalaman min tahun sesuai dengan bidangnya memiliki kemampuan komunikasi yang baik mampu bekerja secara team maupun individual memiliki inisiatif dan improvisasi yang kuat siap bekerja sesuai target penempatan surabaya
1218;engineering staff;menangani work order penghuni yang di order oleh supervisor atau asst chief engineer dan memberi laporan kepada supervisor bila ditemui masalah masalah yang tidak dapat ditangani sendiri menangani work order preventive maintenance yang di order oleh supervisor menangani project project khusus yang ditangani oleh engineering department segera melaporkan kelainan kelainan atau gangguan gangguan yang ditemui kepada atasan langsung menjaga dan merawat semua peralatan dan tool memberi masukan masukan atau usulan usulan untuk penyempurnaan system perawatan dan operasional laki laki usia maksimal tahun pendidikan min smk jurusan listrik sipil mesin bertanggung jawab disiplin jujur mampu bekerja dalam tim bersedia bekerja shift mampu berkomunikasi berkoordinasi dengan baik bersedia ditempatkan di surabaya
1219;marketing communication;membangun dan menjaga hubungan kerjasama dengan perusahaan media event organizer menyusun rencana dan jadwal pameran event dan mengorganisir event berkala menyediakan media promosi pada setiap penyelenggarakan pameran memonitor pelaksaan event memonitor tingkat kepuasan tenant dan pengunjung terhadap event dan pelayanan mall mengawasi mengendalikan dan mengevaluasi budget pelaksanaan event melakukan koordinasi dengan departmen lain agar event berjalan lancar pendidikan min segala jurusan usia max tahun memiliki pengalaman kerja sebagai marcomm min tahun di mall kreatif inisiatif memiliki koneksi yang luas terutama komunitas anak muda mahir menggunakan software design close
1220;fitout;memberikan informasi kepada tenant mengenai standar standar yang diterapkan dalam proses fit out mereview gambar kerja sesuai dengan standar dan mengecek kembali kelengkapan data dan persyaratan fit out berkoordinasi dengan atasan dan unit kerja terkait proses persetujuan fit out koordinasi data admin dengan finance legal leasing terkait fitout prosedur memantau pekerjaan tenant kontraktor di lapangan dan memastikan seluruh proses berjalan sesuai kesepakatan dan standar gedung melakukan checklist kesesuaian standar kualitas sebelum tenant beroperasi opening usia maksimal tahun pendidikan minimal arsitektur interior design pengalaman sebagai fitout arsitek minimal tahun di mall disiplin tanggung jawab teliti jujur inisiatif komunikatif dan mempunyai presentation skill mahir menggunakan software autocad dan ds max kreatif dan dapat bekerja dengan deadline yang ketat penempatan di surabaya
1221;legal staff;mensupport dan mengelolah dokumen perusahaan khususnya yang berhubungan dengan perjanjian kerjasama maupun legal contract mereview legal contract perjanjian kerjasama dan dokumen legal lain yang berhubungan dengan project perusahaan dimana ditempatkan melakukan tugas clerical secara umum termasuk tetapi tidak terbatas pada fotocopy faks surat menyurat dan filling dokumen menguasai pembuatan dan review surat perjanjian beserta monitoring validitasnya usia maksimal tahun hukum memiliki sertfikat peradi pengalaman minimal tahun di posisi yang sama berpengalaman dibidang yang sama lebih disukai disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill posisi sudah terisi ivena
1222;it staff;menerima memprioritaskan dan menyelesaikan permintaan bantuan it dari department lain membeli hardware it software dan hal hal lain yang berhubungan dengan hal tersebut instalasi perawatan dan penyediaan dukungan harian baik untuk hardware software windows macintosh peralatan termasuk printer scanner hard drives external dll korespondensi dengan penyedia jasa eksternal termasuk internet service provider penyedia jasa email hardware dan software supplier dll mengatur penawaran harga barang dan tanda terima dengan supplier untuk kebutuhan yang berhubungan dengan it perawatan jaringan lan server dan koneksi internet mengenkripsi transmisi data dan membangun firewall untuk menyembunyikan informasi rahasia seperti sedang dikirim dan untuk menahan transfer digital tercemar mengembangkan rencana untuk melindungi file komputer terhadap modifikasi disengaja atau tidak sah perusakan atau pengungkapan dan untuk memenuhi kebutuhan pengolahan data darurat memonitor penggunakan file data dan mengatur akses untuk melindungi informasi dalam file komputer monitor laporan saat ini dari virus komputer untuk menentukan kapan untuk memperbarui sistem perlindungan virus memofifikasi keamanan file komputer untuk memasukkan software baru memperbaiki kesalahan atau mengubah status akses individu melakukan backup data berunding dengan pengguna untuk membahas isu isu seperti akses data komputer kebutuhan pelanggaran keamanan dan perubahan pemrograman melatih pengguna dan meningkatkan kesadaran keamanan untuk memastikan keamanan sistem dan untuk meningkatkan efisiensi server dan jaringan usia maksimal tahun pendidikan minimal teknik informatika pengalaman minimal tahun di bidang it disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill mempunyai leadership yang baik target oriented detail oriented
1223;sekretaris accounting;membuat dan menginput jurnal membuat laporan keuangan mengawasi transaksi keuangan membuat rekonsiiliasi data keuangan monitoring data keuangan perusahaan minimal pendidikan akuntansi minimal ipk bersedia bekerja mobile dan siap bekerja dibawah tekanan terbiasa menggunakan aplikasi accounting dan microsoft excel
1224;account officer;bertanggung jawab melakukan support atas segala kebutuhan marketing bertanggung jawab menerima telpon masuk baik dari klien baru ataupun klien existing membuat penawaran harga untuk klien mengirimkan penawaran harga kepada klien melakukan follow up kepada klien mengelola segala kebutuhan promosi dan komunikasi baik hard maupun softcopy membuat materi keperluan marketing misalnya email blast korespondensi dengan klien dll melakukan support dalam administrasi tender melakukan pengklasifikasian dan menjaga data data memasukan data data ke sistem erp menjalin komunikasi yang baik dengan klien dan mempertahankan klien yang telah ada melakukan koordinasi dengan divisi lain yang terkait dengan kegiatan marketing misalnya maintenance melakukan pelaporan mengenai produk yang telah disewa digunakan oleh klien misalnya laporan foto billboard mengerjakan pekerjaan marketing administrasi dan kesekretarisan lainnya membuat laporan harian mengirimkan penawaran perpanjangan harga laki laki atau perempuan usia maksimal tahun komunikasi jurusan adertising lebih diutamakan pengalaman min tahun untuk posisi marketing pengalaman marketing di agency diutamakan terbiasa handle omset bulan memiliki kemampuan berkomunikasi yang baik service oriented menguasai microsoft office ms word ms excel dan ms power point mampu bekerja dibawah tekanan
1225;admin it;melakukan administrasi berkas berkas it melakukan check list inventory it laki laki atau perempuan maksimal usia th minimal pendidikan diploma atau sederajat setidaknya memiliki pengalaman tahun sebagai ga fresh graduate boleh melamar multi tasking dan mau belajar memiliki pengetahuan mengenai vehicle kendaraan memiliki kemampuan analisa dan administrasi yang baik siap bekerja dibawah tekanan
1226;receptionist;menerima telepon masuk keluar menerima tamu mengantarkan tamu menerima surat surat yang masuk melakukan pengarsipan bertanggungjawab terhadap kelengkapan ruang meeting note close adanya pembatalan promisi an yulia listiani dan kinerja existing sudah cukup perempuan maksimal usia tahun memiliki pengalaman setidaknya tahun berpenampilan menarik smart teliti jujur gesit komunikatif rapih memiliki kemampuan administrasi yang baik
1227;staff maintenance go;melakukan administrasi berkas berkas general operational melakukan pengecheckan vendor laki laki atau perempuan maksimal usia th minimal pendidikan diploma atau sederajat setidaknya memiliki pengalaman tahun sebagai administrasi fresh graduate boleh melamar multi tasking dan mau belajar memiliki pengetahuan mengenai vehicle kendaraan memiliki kemampuan analisa dan administrasi yang baik siap bekerja dibawah tekanan
1228;sales executive;kemampuan meningkatkan revenue hotel sesuai budget mengadakan event personal corporate government mengerti dan menguasai produk hotel maintain tamu dan mendapatkan tamu baru pria wanita usia maksimal tahun penampilan menarik memiliki banyak relasi pendidikan minimal pengalaman dibidang sales marketing perhotelan minimal tahun bisa mengendarai mobil dan memiliki sim
1229;general admin;koordinasi dengan staf administrasi sekretaris divisi lain jika ada meeting gabungan atau kegiatan lainnya mengumpulkan dan menyusun dokumen menyiapkan tiket dan akomodasi untuk kegiatan kerja atau kunjungan luar kantor membuat laporan absensi karyawan membuat notulen meeting membuat dan mengirim surat untuk keperluan perusahaan usia maksimal tahun pendidikan minimal segala jurusan pengalaman minimal tahun sebagai admin staff di perusahaan property disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill detail target oriented penempatan di surabaya
1230;accounting staff;melakukan pengaturan administrasi keuangan perusahaan menyusun dan membuat laporan keuangan perusahaan menyusun dan membuat laporan perpajakan perusahaan menyusun dan membuat anggaran pengeluaran perusahaan secara periodik bulanan atau tahunan menyusun dan membuat anggaran pendapatan perusahaan secara periodik bulanan atau tahunan menyusun dan membuat surat surat yang berhubungan dengan perbankan dan kemampuan keuangan perusahaan memverifikasi data keuangan atau dokumen ekonomi organisasi sesuai dengan prosedur yang berlaku di organisasi dan kelengkapan dokumen dengan alat bantu dokumen transaksi mencatat dokumen ekonomi secara double entry system sistem pencatatan akuntansi dengan alat bantu form jurnal mengelompokan sesuai dengan jenis transaksi ke dalam masing masing buku besar dengan alat bantu buku besar mengklasifikasikan buku besar sesuai dengan klasifikasi akuntansi dengan alat bantu neraca saldo melakukan rekonsiliasi dan penyesuaian bersama kasir dengan alat bantu buku kas buku bank rekening koran buku tabungan daftar aktiva tetap dan transaksi moneter lainnya menyusun laporan atau informasi keuangan sesuai standar pelaporan akuntansi dan kebutuhan para pemakai internal dengan alat bantu standar laporan akuntansi dan format laporan lainnya usia maksimal tahun pendidikan minimal sarjana akuntansi pengalaman minimal tahun di perusahaan property kap disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill mempunyai leadership yang baik target oriented detail oriented penempatan di surabaya
1231;sekretaris direksi;melakukan aktivitas kesekretariatan perusahaan mengupayakan kelancaran pelaksanaan agenda kegiatan direksi memberikan masukan kepada direksi dari aspek hukum yang berkaitan dengan operasionalisasi dan pengembangan usaha perusahaan membuat data base dan menyimpan dokumen asli perusahaan mengkomunikasikan kebijakan perusahaan kepada pihak internal perusahaan mengkomunikasikan kebijakan perusahaan kepada pihak eksternal perusahaan mengkoordinasikan bahan bahan laporan untuk rapat komisaris dan rapat umum pemegang saham menyiapkan laporan secara keseluruhan mengenai kegiatan sekretaris perusahaan secara benar dan tepat waktu usia maksimal tahun pendidikan minimal segala jurusan pengalaman minimal tahun sebagai sekretaris direktur disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill tegas dan detail oriented memiliki penampilan yang menarik dan proporsional penempatan di surabaya sudah terisi
1232;general cashier;melakukan pengaturan administrasi keuangan perusahaan menyusun dan membuat laporan keuangan perusahaan menyusun dan membuat laporan perpajakan perusahaan menyusun dan membuat anggaran pengeluaran perusahaan secara periodik bulanan atau tahunan menyusun dan membuat anggaran pendapatan perusahaan secara periodik bulanan atau tahunan menyusun dan membuat surat surat yang berhubungan dengan perbankan dan kemampuan keuangan perusahaan memverifikasi data keuangan atau dokumen ekonomi organisasi sesuai dengan prosedur yang berlaku di organisasi dan kelengkapan dokumen dengan alat bantu dokumen transaksi mencatat dokumen ekonomi secara double entry system sistem pencatatan akuntansi dengan alat bantu form jurnal mengelompokan sesuai dengan jenis transaksi ke dalam masing masing buku besar dengan alat bantu buku besar mengklasifikasikan buku besar sesuai dengan klasifikasi akuntansi dengan alat bantu neraca saldo melakukan rekonsiliasi dan penyesuaian bersama kasir dengan alat bantu buku kas buku bank rekening koran buku tabungan daftar aktiva tetap dan transaksi moneter lainnya menyusun laporan atau informasi keuangan sesuai standar pelaporan akuntansi dan kebutuhan para pemakai internal dengan alat bantu standar laporan akuntansi dan format laporan lainnya usia maksimal tahun pendidikan minimal sarjana akuntansi pengalaman minimal tahun di perusahaan property kap disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill mempunyai leadership yang baik target oriented detail oriented penempatan di surabaya
1233;desain visualisasi (lokasi)`;membuat mengedit foto atau vidio membuat ilustrasi gambar pada hasil penmbuatan atau edit foto dan lain lain usia maksimal tahun pendidikan minimal design komunikasi visual multimedia atau sejenisnya fresh graduate berpengalaman min tahun lebih disukai menguasai auto cad corel draw photoshop ilustrator dan fotografi memiliki inisiatif kreatif dan cekatan
1234;leasing mall;melakukan koordinasi dengan departemen lain terkait dengan proses administrasi secara keuangan perjanjian sewa dan desain layout tenant leasing casual leasing bertanggung jawab terhadap pemenuhan okupansi mall memastikan perjanjian sewa menyewa selalu update membangun hubungan baik dengan tenant existing dan calon tenant penyewa serta menjembatani antara tenant dengan management mall memiliki jaringan luas dan follow up calon tenant yang akan mengisi unit kosong untuk disewakan pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan usia maksimal tahun pendidikan minimal semua jurusan pengalaman minimal tahun di leasing bidang mall property disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill target oriented penempatan di surabaya
1235;chief ga;mengerti dan memahami peraturan perundangan yang berlaku beserta proses pengurusannya termasuk melakukan pengurusan seluruh perijinan yang dibutuhkan perusahaan menjaga hubungan baik dengan lingkungan sekitar perusahaan dan dengan pemerintah daerah setempat mendukung seluruh kegiatan operasional kantor dengan melakukan proses pengadaan seluruh peralatan kebutuhan kerja seperti atk komputer meja kursi kerja ac dst maupun sarana atau fasilitas penunjang lain seperti kendaraan operasional office boy satpam operator telpon dst dengan cepat akurat berkualitas serta sesuai dengan anggaran yang ditentukan melakukan analisa kebutuhan anggaran atas pengadaan dan pemeliharaan seluruh fasilitas dan sarana penunjang aktivitas perusahaan untuk kemudian diajukan kepada bagian keuangan dan manajemen perusahaan untuk dianggarkan dan disetujui membuat menjalankan dan mengembangkan sistem kerja atau prosedur atas pengadaan dan pemeliharaan fasilitas penunjang kerja melakukan pencatatan dan pelaporan aset perusahaan mampu merencanakan jadwal pemeliharaan fasilitas perusahaan dan memperbaiki kerusakan merencanakan jadwal inspeksi aset perusahaan dan melaporkan ke departemen terkait menyiapkan laporan bulanan untuk keperluan rapat anggaran laporan keuangan atas aset dan beban biaya kantor usia maksimal tahun pendidikan minimal semua jurusan memimiliki pengalaman di posisi yang sama minuimal tahun mengerti peraturan tentang jasa outsourcing memiliki jaringan yang luas dengan vendor vendor perusahaan mampu bekerja dengan tim maupun individu jujur disiplin pekerja keras dan mampu bekerja dibawah tekanan memiliki inisiatif yang baik motivasi dan integritas yang tinggi
1236;marketing karaoke & entertainment centre;membuat report harian mingguan bulanan kegiatan marketing membuat dan menganalisa laporan mingguan dan bulanan penjualan serta mempertanggung jawabkannya memiliki jaringan luas baik instansi pemerintah dan perusahaan swasta follow up customer yang akan membuat event di anang karaoke malakukan flyering dan promosi melalui berbagai media baik cetak maupun digital melakukan strategi marketing yang inovatif membangun dan menjaga hubungan kerjasama dengan perusahaan media event organizer melakukan koordinasi dengan departmen lain agar event berjalan lancar bertanggung jawab dan mengevaluasi atas pencapaian target marketing memiliki jaringan dan wawasan yang luas kemampuan negosiasi dan management melakukan riset pasar agar tetap memberikan pelayanan yang baik dihandle risky marketing anang tidar usia maksimal tahun pendidikan minimal segala jurusan pengalaman minimal tahun sebagai marketing di perusahaan bidang karaoke entertainment disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill target oriented memiliki koneksi luas bisa bekerja secara individu maupun team penempatan di surabaya
1237;marketing (surabaya);mencari para calon klien yang prospektif mengembangkan dan merealisasikan rencana penjualan dan tergetnya melakukan penawaran harga dan negosiasi dengan klien dll usia maksimal tahun pendidikan minimal semua jurusan memiliki pengalaman bekerja minimal tahun dibidang yang sama memiliki networking yang luas memiliki kendaraan sendiri lebih diutamakan memiliki sim lebih disukai penempatan surabaya
1238;general manager hotel;memimpin perusahaan dan menjadi motivator bagi karyawannya mengelola operasional harian perusahaan merencanakan melaksanakan mengkoordinasi mengawasi dan mengalisis semua aktivitas bisnis perusahaan mengelola perusahaan sesuai dengan visi dan misi perusahaan merencanakan mengelola dan mengawasi proses penganggaran di perusahaan merencanakan dan mengontrol kebijakan perusahaan agar dapat berjalan degan maksimal memastikan setiap departemen melakukan strategi perusahaan dengan efektif dan optimal mengelola anggaran keuangan perusahaan memutuskan dan membuat kebijakan untuk kemajuan perusaahan membuat prosedur dan standar perusahaan membuat keputusan penting dalam hal investasi integrasi aliansi dan divestasi merencanakan dan mengeksekusi rencana startegis perusahaan jangka menengah dan jangka panjang untuk kemajuan perusahaan memiliki kemampuan untuk bekerja sama dengan semua lapisan dalam perusahaan berperilaku baik komunikasi lisan dan tertulis baik serta memiliki keterampilan interpersonal berjiwa pemimpin dapat mengelola dan mengawasi karyawan dapat memecahkan permasalahan konflik maupuan situasi krisis dalam perusahaan dengan cepat dan tepat dapat melakukan berbagai tugas dan pekerjaan secara cepat dan efektif dapat bertanggung jawab pada tugas tugasnya serta dapat menjadi panutan bagi karyawanya dapat mengambil keputusan dengan cepat dan tepat usia maksimal tahun pendidikan minimal segala jurusan pengalaman minimal tahun sebagai general manager hotel manager di hotel bintang disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill detail oriented penempatan di surabaya tidak jadi resign
1239;building manager;bertanggung jawab terhadap seluruh operasional gedung antara lain pemeliharaan gedung perbaikan renovasi safety gedung dan kebersihan serta keamanan menyusun budget operasional gedung memastikan efektivitas biaya dan efisiensi energy membina hubungan baik dengan tenant dan pihak eksternal menyusun serta menerapkan sop mengawasi kinerja kontraktor dan vendor menampung dan menyelesaikan segala complain para penghuni merencanakan mengkoordinasikan mengevaluasi dan mengusulkan pemecahan masalah dalam melaksanakan pengelolaan gedung mengendalikan dan mengambil tindakan perbaikan terhadap kinerja kelancaran keuangan perusahaan sesuai dengan rencana budget yang ditetapkan memahami dan menjabarkan kebijakan yang telah ditetapkan direksi pprs kedalam rencana kerja pengelolaan gedung usia minimal tahun pendidikan minimal akuntansi pengalaman minimal tahun di mall atau apartemen disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill tegas dan detail oriented memiliki sikap leadership yang kuat penempatan di surabaya
1240;sekretaris lokasi;melakukan aktivitas kesekretariatan perusahaan khususnya hal lokasi mengupayakan kelancaran pelaksanaan agenda kegiatan direksi memberikan masukan kepada direksi dari aspek hukum yang berkaitan dengan operasionalisasi dan pengembangan usaha perusahaan membuat data base dan menyimpan dokumen asli perusahaan mengkomunikasikan kebijakan perusahaan kepada pihak internal perusahaan mengkomunikasikan kebijakan perusahaan kepada pihak eksternal perusahaan menyiapkan laporan secara keseluruhan mengenai kegiatan sekretaris perusahaan secara benar dan tepat waktu usia maksimal tahun pendidikan minimal segala jurusan pengalaman minimal tahun sebagai sekretaris direktur disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill tegas dan detail oriented memiliki penampilan yang menarik dan proporsional penempatan di surabaya
1241;sekretaris direksi;membantu kelancaran pelaksanaan tugas pimpinan dalam melaksanakan kegiatan operasional perusahaan yaitu melaksanakan administratif surat menyurat dan pengarsipan melaksanakan persiapan bahan kerja melaksanakan pengaturan jadwal agenda kegiatan pimpinan melaksanakan notulensi dalam kegiatan rapat berkala pimpinan usia maksimal tahun pendidikan min pengalaman kerja minimal tahun dibidang yang sama lebih disukai berpenampilan menarik sopan rapi inisiatif tinggi dan komunikatif mampu bekerja secara multitasking memiliki time task management yang baik mampu bekerja dengan target dan deadline pekerja keras dan tahan terhadap tekanan memiliki disiplin dan etika yang tinggi
1242;english teacher;membuat laporan mengajar dan administrasi ke pihak management mengembangkan mensupervisi dan mengimplementasikan program yang berlaku mengikuti petunjuk mengajar yang berlaku melakukan evaluasi dan maintain perkembangan murid pengalaman tahun sebagai teacher di preschool fresh graduate boleh melamar latar belakang pendidikan pendidikan anak usia dini lebih di disukai bersedia bekerja di hari sabtu tertarik dengan anak anak mau mempelajari hal hal yang baru memiliki kemampuan komunikasi dengan bahasa inggris
1243;marcomm;membangun dan menjaga hubungan kerjasama dengan perusahaan media event organizer menyusun rencana dan jadwal pameran event dan mengorganisir event berkala menyediakan media promosi pada setiap penyelenggarakan pameran memonitor pelaksaan event memonitor tingkat kepuasan tenant dan pengunjung terhadap event dan pelayanan mall mengawasi mengendalikan dan mengevaluasi budget pelaksanaan event melakukan koordinasi dengan departmen lain agar event berjalan lancar pendidikan min segala jurusan usia max tahun memiliki pengalaman kerja sebagai marcomm min tahun di mall kreatif inisiatif memiliki koneksi yang luas terutama komunitas anak muda mahir menggunakan software design
1244;accounting staff;melakukan pengaturan administrasi keuangan perusahaan menyusun dan membuat laporan keuangan perusahaan menyusun dan membuat laporan perpajakan perusahaan menyusun dan membuat anggaran pengeluaran perusahaan secara periodik bulanan atau tahunan menyusun dan membuat anggaran pendapatan perusahaan secara periodik bulanan atau tahunan menyusun dan membuat surat surat yang berhubungan dengan perbankan dan kemampuan keuangan perusahaan memverifikasi data keuangan atau dokumen ekonomi organisasi sesuai dengan prosedur yang berlaku di organisasi dan kelengkapan dokumen dengan alat bantu dokumen transaksi mencatat dokumen ekonomi secara double entry system sistem pencatatan akuntansi dengan alat bantu form jurnal mengelompokan sesuai dengan jenis transaksi ke dalam masing masing buku besar dengan alat bantu buku besar mengklasifikasikan buku besar sesuai dengan klasifikasi akuntansi dengan alat bantu neraca saldo melakukan rekonsiliasi dan penyesuaian bersama kasir dengan alat bantu buku kas buku bank rekening koran buku tabungan daftar aktiva tetap dan transaksi moneter lainnya menyusun laporan atau informasi keuangan sesuai standar pelaporan akuntansi dan kebutuhan para pemakai internal dengan alat bantu standar laporan akuntansi dan format laporan lainnya usia maksimal tahun pendidikan minimal sarjana akuntansi pengalaman minimal tahun di perusahaan property kap disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill mempunyai leadership yang baik target oriented detail oriented penempatan di surabaya
1245;manager finance & accounting;planning forecasting dan budgeting finance memberikan opini terhadap proses keuangan perusahaan monitoring laporan keuangan laki laki perempuan pendidikan minimal akuntansi ekonomi ipk minimal memiliki pengalaman minimal tahun dibidang yang sama memiliki kemampuan analisa dan logika berpikir yang tajam mahir menggunakan microsoft office khususnya excel dapat bekerja dalam tekanan memiliki sertifikat brevet merupakan nilai tamb
1246;spv it;bertanggung jawab terhadap keseluruhan kegiatan it membuat pengawasan sistem aplikasi jaringan berdasarkan kebutuhan it support usia maksimal tahun pendidikan minimal teknik informatika diutamakan memiliki pengalaman tahun sebagai it lulusan baru silahkan melamar mengetahui pekerjaan yang berkaitan dengan it support hris lan mikrotik software hardware sistem database admin memiliki kondisi tubuh yang sehat mampu mengelola tim dengan baik menjadi nilai lebih memiliki determinasi yang tinggi dalam bekerja
1247;it staff;bertanggung jawab terhadap keseluruhan kegiatan it membuat pengawasan sistem aplikasi jaringan berdasarkan kebutuhan it support usia maksimal tahun pendidikan minimal teknik informatika diutamakan memiliki pengalaman tahun sebagai it lulusan baru silahkan melamar mengetahui pekerjaan yang berkaitan dengan it support hris lan mikrotik software hardware sistem database admin memiliki kondisi tubuh yang sehat mampu mengelola tim dengan baik menjadi nilai lebih memiliki determinasi yang tinggi dalam bekerja
1248;technical support;menangani trouble shooting dan jaringan hardware dan software maintenance hardware dan software usia maksimal tahun pendidikan minimal informatika teknik komputer pengalaman minimal tahun menguasai jaringan router nat winbox setting server dhcp dns server domain controller diutamakan yang menguasai tentang network microsoft dan setting server proxy server dan pabx memiliki mcse sertifikasi akan sangat diperhitungkan menguasai instalation trouble shooting pada pc dan peripheral lainnya mampu bekerja team maupun mandiri
1249;legal staff;membuat konsep dan koreksi surat surat perjanjian kontrak kerjasama dan yang sejenisnya pendidikan minimal hukum fresh graduate berpengalaman usia maksimal tahun membuat konsep dan koreksi surat surat perjanjian kontrak kerjasama dan yang sejenisnya siap kerja under pressure penampilan menarik penempatan surabaya
1250;legal humas;mampu bersikap berperilaku dan bekerja dengan jujur dapat bekerjasama dalam tim memiliki kecermatan dan ketelitian terutama saat membaca dan membuat dokumen dokumen perjanjian mampu berfikir logis obyektif dan jernih berdasarkan fakta kemampuan memahami bahasa hukum memiliki sikap tegas dan teguh pendirian mampu berkomunikasi dengan lugas dan jelas memiliki kemampuan bernegosiasi memahami dengan baik undang undang dan segala peraturan pertanahan hukum perpajakan dan peraturan yang berhubungan dengan pembangunan proyek properti memiliki kemampuan advokasi seperti mampu memahami urutan dan detil beracara di pengadilan membuat laporan bulanan perijinan membuat proposal ijin pemanfaatan ruang menyiapkan gambar perencanaan lahan site plan mengurus dan mengecek sertifikat di bpn koordinasi dengan lurah camat dan kades untuk pengurusan sertifikat menjalin hubungan baik dengan warga sekitar proyek untuk kelancaran proses pembangunan laki laki usia minimal tahun pendidikan hukum pengalaman minimal tahun di bidang property disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill bersedia melakukan perjalanan dinas diseluruh wilayah indonesia diutamakan memiliki pengalaman menjalin hubungan dengan organisasi masyarakat dan instansi pemerintahan penempatan di surabaya sudah dapat dari ww
