ApplicantID;Position;JobDescription
12346;finance;penagihan membuat laporan harian dan bulanan melayani customer kasir membuat surat penawaran follow po ke customer membalas email dan wa customer mengecek barang yang sudah jadi
12349;receptionist admin customer service & admin (temporary);menerima dan menjawab panggilan telefon serta mencatat pesan pesan yang masuk mencatat janji janji untuk pimpinan menerima tamu menerima telfon dan menyambungkannya kepada yang bersangkutan menelfon keluar kantor jika ada keperluan membuat purchase order membuat invoice membuat laporan administrasi menerima panggilan telefon melakukan stock opname menerima dan melayani customer customer reation office komunikator mengerjakan tugas admin membuat invoice input data report data melakukan penjadwalan melakukan stock opname fillning dokumen
12350;event & promotions;merancang konsep dan jadwal event menjalankan program promosi
12356;sales  sales manager;direct report to general manager since month vacant position of director of sales led the sales team reservation catering sales room sales sales admin to achieve the target achieved the top performance to get individual traveller from corporate direct report to ados responsible account corporate govt and ojk my achievement bring business from ojk with room night year
12358;passenger ticketing sales front office;melayani reservasi tiket dan pelayanan informasi kepada customer pelayanan informasi dan administrasi
12359;staff perijinan;mengarsip data jual beli di notaris membuat skrk imb mengurus advice plann ijin lokasi ippt terutama wilayah sidoarjo berhubungan dengan notaris untuk memantau perkembangan surat ruislag
12369;subtitute teacher subtitute teacher subtitute teacher marketing marketing marketing surveyor surveyor surveyor;teach making rpp schedule of lesson etc teach making rpp schedule of lesson etc teach making rpp schedule of lesson etc marketing ramadhan marketing ramadhan marketing ramadhan survey indeks kebahagiaan survey indeks kebahagiaan survey indeks kebahagiaan
12374;administrasi;membantu dalam persiapan pelaksanaan dan laporan kegiatan pelatihan membuat surat undangan surat keputusan kepala dinas kerangka acuan kerja laporan ketua panitia form biodata peserta penyaji narasumber pre test post test surat pernyataan fasilitasi peserta menyiapkan atk peserta membantu daftar hadir peserta penyerahan atk peserta biodata pre test dan surat pernyataan fasilitasi peserta mendokumentasikan pelaksanaan kegiatan mc pembukaan kegiatan membuat laporan kegiatan membantu pengerjaan spj kegiatan dan perjalanan dinas membantu menerjemahkan surat surat berbahasa inggris membantu mencatat surat masuk dan surat keluar membantu memfilter data industri bidang sesuai dengan permintaan pimpinan membantu membuat paparan sesuai dengan permintaan pimpinan membantu menginput data perjalanan dinas tahunan sesuai permintaan bendahara bidang membantu dalam kegiatan pameran mengirimkan dan mengkroscek surat ke disperindag dan dekranasda kabupaten kota se jawa timur mengirimkan surat ke gubernur jawa timur dan ibu gubernur jawa timur membantu mengkoordinasikan surat mengkroscek kehadiran dalam kegiatan rapat ke para pelaku usaha industri kecil menengah dan besar yang diundang dan tugas tugas lain yang diberikan pimpinan
12386;purchasing staff purchasing staff purchasing staff purchasing staff purchasing staff;membuat po received nego harga document control filling document membuat laporan kerja berkala membuat laporan penialaian kerja checklist document barang in out membuat laporan kas bon menjaga hubungan baik dengan pihak ke supplyer membuat po received nego harga document control filling document membuat laporan kerja berkala membuat laporan penialaian kerja checklist document barang in out membuat laporan kas bon menjaga hubungan baik dengan pihak ke supplyer membuat po received nego harga document control filling document membuat laporan kerja berkala membuat laporan penialaian kerja checklist document barang in out membuat laporan kas bon menjaga hubungan baik dengan pihak ke supplyer membuat po received nego harga document control filling document membuat laporan kerja berkala membuat laporan penialaian kerja checklist document barang in out membuat laporan kas bon menjaga hubungan baik dengan pihak ke supplyer membuat po received nego harga document control filling document membuat laporan kerja berkala membuat laporan penialaian kerja checklist document barang in out membuat laporan kas bon menjaga hubungan baik dengan pihak ke supplyer
12393;it infrastructure it executive it staff;administering linux server and windows server mikrotik svn server linux vlan network security installation windows server and desktop linux server and desktop active directory with kerberos linux vmware vsphere os vmware desktop hyper virtual pc virtual box xen server troubleshooting and maintenance pc server laptop switch printer inventory of office assets and procurement of goods managing and maintenance of hardware software server desktop mac it infrastructure voice data networks and telephones video conference managing and monitoring server vmware esxi configuring and monitoring voip still in research managing and monitoring watchguard mikrotik cctv fingerprint daily weekly and monthly checking maintenance it asset help supporting and resolve staff teacher and student issues backup data staff and server inventory of it asset and procurement of goods handle head office branch office depots in sby mojokerto sidoarjo gresik bali semarang managing and maintenance of hardware software server desktop it infrastructure printer installing and managing windows server managing and monitoring mikrotik cctv wifi fingerprint daily weekly and monthly checking maintenance it asset help supporting and resolve staff trouble issues research and development it infrastructure technology and zahir server with zahir team hosting and woo commerce with online payment system backup data from staff and server inventory of it asset and procurement of goods
12404;it support operator warnet operator warnet dan teknisi komputer teknisi komputer ( consultan it );hardware dan software troubleshooting dan repair cek database cv dan server website mengawasi komputer komputer dari user warung internet membuat laporan error komputer dan software komputer melayani jasa pengetikan dan printing membuat laporan makan dan minuman masuk dan keluar laporan maintenance perangkat komputer serta jaringan untuk di berikan ke owner memperbaiki komputer serta laporan error jaringan ke provider jika ada melayani konsultasi it kepada user jika ingin membangun warnet serta pembuatan server untuk komputerisasi perkantoran dan sekolah memberi rekomendasi perangkat perangkat hardware yang dibeli kepada user berdasarkan kebutuhannya serta badgetnya
12451;owner it support;membuat tim untuk membangun website sesuai dengan permintaan user melakukan promosi perusahaan maintenence website backup data instalasi software
12455;staff/pic branch supervisor district sales manager;membuat event di berbagai perusahaan program salah satu perusahaan rokok ternama membuat lapiran harian mengurus perizinan tempat diadakannya acara event memastikan event acara berjalan sesuai route plan dari awal acara sampai akhir acara dengan memimpin team mengkoordinir team spg dan team leader menentukan venue tempat spg berjualan dan berbagai macam kegiatan lainnya membuat action plan bulanan dan menentukan strategi untuk mencapai target penjualan menjaga hubungan baik dengan partner store memastikan harga presisi baik di web maupun aktual di store supervisi team agar semua berjalan sesuai sop dan sla kolaborasi dengan team it mengenai eror sistem web memperluas area bisnis pengembangan bisnis melakukan kegiatan promosi branding dealing promo dll budgeting dan berbagai tugas lainnya mensupervisi baik cluster supervisor ataupun tim sales agent memastikan pencapaian target baik secara district ataupun cluster ataupun sales agent membuat strategi untuk mencapai target menganalisa tren pasar risk dan berbagai macam hal dalam penjualan make promo dengan pihak external dsb membuat laporan harian mingguan bulanan membina hubungan dengan toko toko dimana terdapat pos point of sales home credit indonesia pengembanganbisnis dan pemasaran di skala district
12510;it staff it staff;pemeliharaan network pemeliharaan komputer setting videotron setting running text mengelola website perusahaan mengisi konten website melakukan iklan di media sosial design illustrasi videotron melakukan video editing membuat form perusahaan pemeliharaan network installasi hardware installasi software pemeliharaan cctv setting cctv pengelolaan website wordpress membuat mencari konten website mengisi konten website melakukan iklan produk di media sosial editing foto produk melakukan service kepada client memeriksa barang masuk cek fisik
12512;asisten lab programmer (internship) network administrator & e-learning programmer;melakukan pendampingan kepada praktikan saat praktikum memantau perkembangan praktikan melakukan penilaian dari demontrasi tugas yang praktikan kerjakan membantu kebutuhan dosen saat praktikum untuk menjelaskan materi dan presentasi kepada praktikan di laboratorium melakukan konfigurasi server untuk sistem money dan presensi elektronik dengan nfc melakukan sinkronisasi dengan pembuat hardware dengan interface yang dibuat dengan database untuk penyimpanan data aplikasi membuat interface untuk report monitoring presensi pada smk telkom bandung melakukan konfigurasi pemeliharaan dan monitoring prangkat keras dan perangkat lunak jaringan pada laboratorium secara wired maupun wireless melakukan pengembangan fitur dan maintenance terhadap learning berbasis aplikasi web melakukan kontroling pada server agar selalu tersedia dan dapat diakses melalui jaringan internet melakukan perbaikan pada system error dan dan backup data secara berkala
12514;it koordinator tenaga programmer 1/fullstack programmer;design and implement all strategies for all it operations and prepare orientation programs for all employees and ensure compliance to all deadlines and provide upgrade to all systems as per requirement human resource program analyze all it infrastructures and prepare reports to be submitted to senior management and perform research on all technological solutions merancang membangun dan memelihara program sistem informasi pegawai merancang membangun dan memelihara program monitoring data kepegawaian merancang membangun program perhitungan kinerja pegawai mengintegrasikan data sistem informasi pegawai dengan aplikasi lainnya menggunakan web service api membuat tools bantuan pengolahan data diluar program server dengan menggunakan excel vba add in greasemonkey add on mozilla
12515;senior auditor supervisor accounting chief accounting finance asisten manager accounting;audit external ke perusahaan perusahaan klien manufaktur property hotel resort controller cabang perusahaan stok opname review jurnal cabang daily cek jurnal kas bank masuk dan keluar monitoring ar weekly planning pembayaran ke supplier monthly closing accounting report stock opname prepare untuk pelaporan pajak pph dan ppn daily review jurnal kas bank keluar dan masuk monitoring ar weekly cek anggaran pabrik cek dan verifikasi tagihan dari supplier planing pembayaran ke supplier monthly closing accounting report stock opname finish good raw material spareparts prepare untuk pelaporan pajak ppn dan pph special job membuat sop dan memastikan sop berjalan dengan semestinya
12519;messenger;
12538;it engineer;
12543;ppic staff ppic staff;memastikan terpenuhinya plan produksi mengkalkulasi bahan masuk keluar utk membuat suatu produk gold accessories mengkalkulasi upah pengrajin memastikan terpenuhinya plan produksi mengkalkulasi bahan masuk keluar utk membuat suatu produk gold accessories mengkalkulasi upah pengrajin
12556;staff finance coorporate and cash management staff finance coorporate and cash management staff invoicing staff invoicing;melakukan pembayaran dengan menggunakan oracle dan banking petty cash ekonsiliasi bank embantu keperluan cabang membuat surat kuasa dan mengirimkannya ke cabang terkait melakukan pembayaran dengan menggunakan oracle dan banking petty cash ekonsiliasi bank embantu keperluan cabang membuat surat kuasa dan mengirimkannya ke cabang terkait embuat invoice dan faktur pajak enyiapkan dokumen guna keperluan pengiriman invoice dan faktur pajak mengirim invoice dan faktur pajak memfilling tanda terima pengiriman invoice dan faktur pajak embuat invoice dan faktur pajak enyiapkan dokumen guna keperluan pengiriman invoice dan faktur pajak mengirim invoice dan faktur pajak memfilling tanda terima pengiriman invoice dan faktur pajak
12606;spv finance spv finance accounting accounting;cash flow ap ar cek dokumen penagihan cash flow ap ar cek dokumen penagihan laporan keuangan laporan keuangan
12609;customer service customer service admin admin;menerima customer yang datang menyapa dengan ramah sopan dan senyum melayani setiap pertanyaan pertanyaan dan keluhan keluhan dari customer mengenai produk memberikan informasi yang diinginkan customer dengan jelas dan mudah di pahami membina hubungan baik kepada customer agar merasa puas senang dan percaya menyiapkan brosur formulir untuk diisi customer dan ikut serta membantu mengisi formulir menerima customer yang datang menyapa dengan ramah sopan dan senyum melayani setiap pertanyaan pertanyaan dan keluhan keluhan dari customer mengenai produk memberikan informasi yang diinginkan customer dengan jelas dan mudah di pahami membina hubungan baik kepada customer agar merasa puas senang dan percaya menyiapkan brosur formulir untuk diisi customer dan ikut serta membantu mengisi formulir menerima panggilan telepon melakukan panggilan keluar membuat agenda seminar menghubungi tempat lokasi untuk seminar membalas chat via medsos dan membalas email melakukan entri data customer arsip data perusahaan mengecek kebersihan ruangan dan komputer menerima panggilan telepon melakukan panggilan keluar membuat agenda seminar menghubungi tempat lokasi untuk seminar membalas chat via medsos dan membalas email melakukan entri data customer arsip data perusahaan mengecek kebersihan ruangan dan komputer
12611;it helpdesk di pt telkom area jatim noc/omc di pt telkomsel reg jatim;menerima dan menyelesaikan bantuan dan permasalahan it memanage insiden permesalahan hingga selesai dengan menggunakan aplikasi bmc remedy first level untuk penanganan permasalahan koneksi lan dan koneksi internet first level untuk penanganan permasalahan hardware seperti komputer laptop dan printer melakukan setting user account izin dan password mengatur email dan virus protection mengolah dan menyajikan permintaan data membuat laporan mingguan dan bulanan complaint dan handling service bekerja shift jam monitoring dan menjamin kualitas radio network siemens huawei ericsson yang dimiliki oleh pt telkomsel masih baik menganalisa dan melakukan tindakan pertama untuk memecahkan masalah pada jaringan radio pt telkomsel mengkoordinasikan permasalahan dengan bss engineer melakukan testing module yang bermasalah untuk mengoptimalkan kapasitas jaringan membuat laporan harian dan bulanan tren gangguan ts ater interface dan mtp ericsson huawei siemens membuat laporan analisa performansi cssr call drop rate dll bekerja shift jam
12612;it support;instalasi windows pemasangan kabel lan maintenance computer maintenance printer pengadaan barangnya dan inventaris tahunan
12613;operator technician admin it support;troubleshooting and maintenance computer peripheral network and printing machine preparation transactions create company financial statements troubleshooting and maintenance computer peripheral network printing machine and create company financial statements
12629;general affair & admin gis general affair & admin gis;admin gis mengolah data dan membuat peta memonitor aktivitas surveyor di lapangan general affair membuat po surat keluar masuk barang dan dokumen mengatur pekerjaan ob supir dan security mengurus surat surat dan pajak kendaraan aset kantor mengurus perbaikan listrik gedung barang barang kantor dll menjaga dan mempersiapkan ketersediaan alat tulis kantor keperluan pantry dll mengurusi booking tiket untuk karyawan membantu rekapitulasi pengeluaran kas kecil pett cash uang makan gaji karyawan di cabang dan pengeluaran administrasi dan resepsionis membantu merekap absensu karyawan setiap bulan menjaga dan merekap ketersediaan aset kantor admin gis mengolah data dan membuat peta memonitor aktivitas surveyor di lapangan general affair membuat po surat keluar masuk barang dan dokumen mengatur pekerjaan ob supir dan security mengurus surat surat dan pajak kendaraan aset kantor mengurus perbaikan listrik gedung barang barang kantor dll menjaga dan mempersiapkan ketersediaan alat tulis kantor keperluan pantry dll mengurusi booking tiket untuk karyawan membantu rekapitulasi pengeluaran kas kecil pett cash uang makan gaji karyawan di cabang dan pengeluaran administrasi dan resepsionis membantu merekap absensu karyawan setiap bulan menjaga dan merekap ketersediaan aset kantor
12635;spg;pengalaman sebagai spg tahun magang kuliah baguan hrd di pt ramayana lestari sentosa selama bulan
12638;teknisi it it support;instalasi operating system dan setting jaringan printer dan scanner melakukan perbaikan dan mengganti peralatan jika terjadi kerusakan di kantor pusat maupun cabang memenuhi kebutuhan perangkat keras di setiap cabang update anti virus secara berkala melakukan pemasangan mesin spbu di setiap cabang sekaligus maintenance hardware dan software mampu memberikan problem solving kepada user mengenai masalah yang sedang maintenance aplikasi yang digunakan oleh setiap user melakukan koordinasi dengan vendor jika terjadi masalah di eksternal memastikan komputer yang dipakai user bisa berjalan dengan lancar remote desktop ke cabang untuk menyelesaikan masalah yang sedang di hadapi memeriksa komputer yang bisa di gunakan dan memastikan komputer dalam kondisi baik dan siap di pakai oleh user menggunakan sistem operasi yang kompitable dan di inginkan oleh user menginstalasi jaringan dan mengkoneksikan ke komputer user melakukan backup data pada komputer client dan server memastikan komputer server sudah terkonfigurasi dengan benar dan ter integrasi ke client memastikan penggunaan software yang aman dan sesuai dengan kebutuhan penggunaan komputer user melakukan perawatan berkala pada komputer yang mencakup hardware dan software menangani troubleshooting jaringan melakukan intalasi dan perbaikan pada sistem keamanan cctv printer scaner mesin fax dan mesin fotocopy mesin absensi membuat laporan inventaris peralatan setiap tahunnya menangani mail server backup database di sql server emahami proses bisnis erp dan aplikasi yang lainnya yang dipakai di perusahaan termasuk proint abipro
12641;staf teknik;melakukan maintenace jaringan hfc melakukan moniroting bandwidth management bandwidth
12666;perawat gigi dan staff registrasi;membantu dokter dalam melayani pasien dan melakukan pendaftaran pasien
12709;staff it staff it staff it;web building structure analyze data and system input data to web system analyze system building testing system input data troubleshooting and maintenance hardware and network maintenance troubleshooting and backup server maintenance troubleshooting hardware and network guide user for new knowlege or software give advice to company about third party overing
12715;hr dept head hr & ga manager ;recruiter training development organizational development general affair employee appraisal adm personnel relationship industrial legal officer recruiter training development payrool general affairs organizational development employee appraisal legal officer relationship industrial
12740;service advisor;melayani konsumen bengkel melayani keluhan konsumen bengkel menganalisa kerusakan kendaraan yg ingin diservice
12752;admin dan kepala kasir admin dan kepala kasir admin penjualan admin penjualan sekretaris sekretaris;mencatat laporan keuangan dan mencatat segala orderan advertising mencatat laporan keuangan dan mencatat segala orderan advertising mencatat pendapatan dan stock barang setiap harinya mencatat pendapatan dan stock barang setiap harinya mencari agent baru melakukan interview membantu atasan menyelesaikan tugasnya surat menyurat filling data mencari agent baru melakukan interview membantu atasan menyelesaikan tugasnya surat menyurat filling data
12755;staff staff staff;
12758;intern intern;kohun construction co ltd is expanding their branch business in tourism sector at kannabe higland local area located in hyogo prefecture my responsibility in this internship project is making tourism concept which are designing japanese villa for high end tourists exploring potential touristy places in kannabe highland to be offered to villa guests and making company website contents most of my internship projects were supervised by mr mitsuo kishino professional and certified architect in japan responsible to learn the work flow of japanese architecture construction firm to learn japanese working attitude and to create international working environment at the office by helping the staffs to speak english more often kohun construction co ltd is expanding their branch business in tourism sector at kannabe higland local area located in hyogo prefecture my responsibility in this internship project is making tourism concept which are designing japanese villa for high end tourists exploring potential touristy places in kannabe highland to be offered to villa guests and making company website contents most of my internship projects were supervised by mr mitsuo kishino professional and certified architect in japan responsible to learn the work flow of japanese architecture construction firm to learn japanese working attitude and to create international working environment at the office by helping the staffs to speak english more often
12769;technicians technicians;doing repair and diagnosis of hardware and software problems on pc laptop and printers except motherboard problems sometimes help serving customers leave this job cause want to focus on my study doing repair and diagnosis of hardware and software problems on pc laptop and printers except motherboard problems sometimes help serving customers leave this job cause want to focus on my study
12779;visual artist - 2d / 3d;
12815;hr staff;melakukan interview awal kepada calon pegawai baru melakukan pemanggilan kepada calon karyawan yang lolos ke tahap seleksi berikutnya mendata karyawan baru dan memenuhi syarat formil nya memegang absensi karyawan mambantu hr manager
12834;i/c assistant director of room room division manager room division manager general manager;to manage the administration and operation of overall room division to manage the administration and operation of overall room division to manage the administration and operation of overall room division responsible for achieving optimal guest satisfaction and good working environment to attain all set objectives to implementation of optimal and attractive products and services required to address the hotel target groups
12859;kurir;mengantarkan setiap paket dari gudang ke rumah rumah pemilik paket ada yang menggunakan sistem cod
12871;staff it;qc software penulis teknis melakukan perawatan berkala pada semua pc di dalam satu gedung melakukan maintenance jaringan lan dan server melakukan pelayanan terhadap user atau rekanan terkait problem software atau perangkat yang di gunakan user
12891;staff teknisi staff teknisi staff teknisi pengisian atm staff teknisi pengisian atm staff engineering dan staff building management staff engineering dan staff building management;bekerja sebagai staff teknisi bekerja sebagai staff teknisi
12906;accounting staff;analyst cost budgeting omset hutang dan piutang
12951;it support;membuat design corel draw photoshop dan adobe ilustrator installasi jaringan pemasangan maintanance cctv pabx dan internet all area monitoring jaringan intranet dan internet
12953;administration staf administration staf administration staf administration staf administration staf administration staf;make weekly and monthly expense report check monthly expense report frok jo joint operation toll road solo keetosono pay tax and other administration for company organize company file others make weekly and monthly expense report check monthly expense report frok jo joint operation toll road solo keetosono pay tax and other administration for company organize company file others make weekly and monthly expense report check monthly expense report frok jo joint operation toll road solo keetosono pay tax and other administration for company organize company file others make weekly and monthly expense report check monthly expense report frok jo joint operation toll road solo keetosono pay tax and other administration for company organize company file others make weekly and monthly expense report check monthly expense report frok jo joint operation toll road solo keetosono pay tax and other administration for company organize company file others make weekly and monthly expense report check monthly expense report frok jo joint operation toll road solo keetosono pay tax and other administration for company organize company file others
12955;pengajar ekstrakulikuler kir pengajar ekstrakulikuler kir pengajar ekstrakulikuler kir pengajar ekstrakulikuler kir;mengajar kir seminggu sekali mengajar kir seminggu sekali mengajar kir seminggu sekali mengajar kir seminggu sekali
12964;kabag sdm staff umum dan kepegawaian;payroll rekruitment perizinan dokter perizinan perawat perizinan bidan personalia sop kontrak pegawai pengadaan kepegawaian personalia payroll cuti pegawai pensiun pegawai kinerja pegawai pengadaan kecamatan it
12974;tenant relation staff;as connection between mamagement and tenant handling customer complain daily administration fitting out renovation survey making tenant administration to government
12981;bisnis consultan bisnis consultan bisnis consultan bisnis consultan bisnis consultan bisnis consultan;mencari nasabah dan membantu nasabah bertransaksi mencari nasabah dan membantu nasabah bertransaksi mencari nasabah dan membantu nasabah bertransaksi mencari nasabah dan membantu nasabah bertransaksi mencari nasabah dan membantu nasabah bertransaksi mencari nasabah dan membantu nasabah bertransaksi
12988;project associate ;becoming facilitator for certain workshops developing reports to clients related to what project we have done help produce proposals organizeand maintain project files and data bases scheduling meetings preparing presentations and preparing workshop kits
12999;pengajar enginering staff it bank btpn kc.surabaya  centralized operations officer 1 jawa timur.operation pensiun  credit support staff centralized operations pensiun kc.mojokerto;sebagai pengajar intansi pemerintah dan swasta trouble shotting hadware dan software menjaga kesetabilan sistem perbankan area surabaya maintenance software dan hadware sistem perbankan area surabaya koordinator konsulidasi data laporan bulanan area surabaya ke pusat pt bank btpn koordinator konsulidasi data laporan bulanan area surabaya ke bank indonesia koordinator sistem manajemen aset sima area surabaya koordinator procrument inventaris dan atk area surabaya koordinator kliring area surabaya koordinator pengajuan dana operational kantor area surabaya ke treasury monitoring aba giro kantor laporan bulanan penyusutan inventaris kantor laporan bulanan procrument elakukan pengecekan kelengkapan dokumen kredit sebagai syarat kredit pensiun pengecekan proses kredit via sistem pengecekan keaslihan jaminan kredit pengecekan verifikasi tervalidasi bila semua terpenuhi central kredit melakukan verifikasi via sistem apa bila tidak memenuhi atau terdapat kekurangan makan proses kredit dilakukan pembetulan melakukan monitoring dokumen dan jaminan kredit harian menyediakan data untuk audit data sudah dilakukan review control ke dua kali sebelum di berikan ke pihak audit onitoring jaminan kredit di kantor cabang perwilayah membuat laporan konsulidasi bulanan kredit dan jaminan kredit seluruh area
13009;training admin secretary;
13025;junior mekanik junior mekanik junior mekanik;menangani kerusakan mesin pada pembangkit listrik terutama dalam bidang pltgu gt dan st mesin yang biasa di tangani adalah hrsg heat recovery steam generator bfp boiler feed pump dan condensor menangani kerusakan mesin pada pembangkit listrik terutama dalam bidang pltgu gt dan st mesin yang biasa di tangani adalah hrsg heat recovery steam generator bfp boiler feed pump dan condensor menangani kerusakan mesin pada pembangkit listrik terutama dalam bidang pltgu gt dan st mesin yang biasa di tangani adalah hrsg heat recovery steam generator bfp boiler feed pump dan condensor
13056;hotel manager hotel manager;controling day to day operational hotel make and running hotel rules and policy responsible to income and expenses hotel to achieve budget make sales and marketing action plan drive all staff are matching the standart operational prosedure identify new market to find lead businness conduct daily sales call sales trip controling day to day operational hotel make and running hotel rules and policy responsible to income and expenses hotel to achieve budget make sales and marketing action plan drive all staff are matching the standart operational prosedure identify new market to find lead businness conduct daily sales call sales trip
13067;staf it service operation staf kredit;melakukan perbaikan software maupun hardware dan jaringan di seluruh kantor cabang se jawa timur kantor cabang laporan pengajuan atm selisih kas atm monitoring atm lokasi membantu bila ada transaksi yang tidak bisa dan butuh konsultasi dengan pihak ke atau host sebagai penyedia layanan membuat laporan pengajuan kredit online membuat laporan kredit yang masuk kategori kredit lancar hingga tidak lancar macet
13074;sales project;menjalankan promo dan penjualan ke kantor developer aplikator kontraktor dan proyek proyek pembangunan
13082;staff perencanaan  staff accounting accounting  head finance accounting ;status magang tugas melayani urusan yang berhubungan dengan kepegawaian mulai dari gaji surat menyurat sampai hitungan lembur dan cuti pegawai bertanggung jawab dalam menyusun laporan keuangan menyusun laporan pajak bulanan dan tahunan bertanggung jawab atas laporan pengeluaran kas bulanan menangani laporan keuangan menangani laporan pembelian impor dan export melakukan pertemuan dengan pihak pihak seperti beacukai bank dll menghitung dan menetukan hpp setiap produk membuat laporan penjualan menangani semua pelaporan perpajakan mengatur dan merencanakan cash flows dan budgeting perusahaan memeriksa laporan harian kas dengan dokumen pendukungnya melakukan cash opname setiap hari membuat laporan cash flows perusahaan secara keseluruhan memeriksa permohonan payment request dari department lain memeriksa pengajuan dan approvel dari purchasing memeriksa data penjualan harian showroom yang di entry oleh kasir membuat laporan komisi dan insentif bulanan memeriksa permohonan pembayaran dari account payable ap membuat laporan pencapaian tagihan ar melakukan rekonsiliasi cash bank penjualan ar ap harian melakukan closing bulanan melakukan entri data faktur dan spt masa ppn memeriksa seluruh laporan cabang memahami dan mengerti perpajakan pph ppn final dll membuat laporan keuangan neraca baik secara manual dan sistem
13084;legal legal legal & contract drafter legal & contract drafter;membuat peraturan perusahaan membuat penjelasan apa esensi dari aturan draft rups pkb legal opinion membuat perjanjian jual beli sewa menyewa pkwt pkwtt mengumpulkan serta menganalisis semua aturan hukum yang terkait perusahaan dan aturan pemerintah lainnya memeriksa kondisi kepatuhan aturan pemerintah terkait perusahaan menyusun rencana perbaikan sop untuk setiap divisi sebagai perwakilan perusahaan berkomunikasi dengan notaris serta pejabat pemerintah lainnya mengontrol dan up date dokumen ekspatriat paspor visa imta kitas skld sktl dll membantu divisi ga mengurus kebutuhan mess mobil dinas direksi dan keamanan security perusahaan mengurus dengan membuat laporan kerja bulanan monthly meeting membuat laporan ke disnaker serta pekerjaan lainnya dari presiden direktur membuat peraturan perusahaan membuat penjelasan apa esensi dari aturan draft rups pkb legal opinion membuat perjanjian jual beli sewa menyewa pkwt pkwtt mengumpulkan serta menganalisis semua aturan hukum yang terkait perusahaan dan aturan pemerintah lainnya memeriksa kondisi kepatuhan aturan pemerintah terkait perusahaan menyusun rencana perbaikan sop untuk setiap divisi sebagai perwakilan perusahaan berkomunikasi dengan notaris serta pejabat pemerintah lainnya mengontrol dan up date dokumen ekspatriat paspor visa imta kitas skld sktl dll membantu divisi ga mengurus kebutuhan mess mobil dinas direksi dan keamanan security perusahaan mengurus dengan membuat laporan kerja bulanan monthly meeting membuat laporan ke disnaker serta pekerjaan lainnya dari presiden direktur drafting agreement surat kuasa spk mou kontrak procurement research update kepatuhan perusahaan terhadap peraturan perundang undangan yang berhubungan dengan kegiatan usaha perusahaan membantu land acquisition menyiapkan berkas dokumen pembebasan lahan dan atau klaimer lahan pemeriksaan berkas dokumen lahan drafting surat menyurat kepada pihak pemerintahan mediator klaim lahan drafting agreement surat kuasa spk mou kontrak procurement research update kepatuhan perusahaan terhadap peraturan perundang undangan yang berhubungan dengan kegiatan usaha perusahaan membantu land acquisition menyiapkan berkas dokumen pembebasan lahan dan atau klaimer lahan pemeriksaan berkas dokumen lahan drafting surat menyurat kepada pihak pemerintahan mediator klaim lahan
13100;pengajar;
13113;electrical technician maintenance leader;preventive maintenance repair dan modifikasi troubleshooting membuat jadwal kegiatan pekerjaan preventive maintenance repair dan modifikasi troubleshooting bertanggung jawab dalam mencapai suatu target pekerjaan yang telah ditetapkan dan sesuai dengan aturan membimbing dan mengarahkan anggota tim dalam melakukan pekerjaan dan mempersiapkan semua laporan yang diperlukan melakukan pengecekan hasil pekerjaan yang telah dilaksanakan
13119;supervisi supervisi supervisi;mengawasi proses kegiatan berkoordinasi dengan pihak terkait mengawasi proses kegiatan berkoordinasi dengan pihak terkait mengawasi proses kegiatan berkoordinasi dengan pihak terkait
13126;staff it;qc software sebelum di distribusikan penulis teknis membuat jadwal maintenance semua pc dalam satu gedung membantu user atau rekanan dalam mengatasi problem dengan perangkat yang di gunakan mengembangkan produk mesin antrian
13127;junior auditor;mengaudit laporan keuangan perusahaan menghitung dan melaporkan spt masa dan tahunan membuat laporan keuangan bulanan
13137;secretary secretary secretary;
13147;financial consultant it development;followup customer untuk menjadi nasabah visit ke lokasi nasabah konsultan trading bagi nasabah merancang konsep aplikasi web beserta dan design database membuat aplikasi web sms gateway dengan codeigniter
13183;assisten manager assisten manager;melakukan pengawasan terhadap kinerja dari staff untuk dapat menjaga kualitas dari pelayanan melakukan inventaris terhadap peralatan dan bahan bahan yang ada di store membuat perencanaan untuk dapat mencapai target penjualan melakukan pengawasan terhadap kinerja dari staff untuk dapat menjaga kualitas dari pelayanan melakukan inventaris terhadap peralatan dan bahan bahan yang ada di store membuat perencanaan untuk dapat mencapai target penjualan
13190;kasir kasir kasir kasir kasir staff admin staff admin staff admin staff admin staff admin;membantu customer dalam pembayaran baik tunai maupun non tunai melakukan sok check membantu customer dalam pembayaran baik tunai maupun non tunai melakukan sok check membantu customer dalam pembayaran baik tunai maupun non tunai melakukan sok check membantu customer dalam pembayaran baik tunai maupun non tunai melakukan sok check membantu customer dalam pembayaran baik tunai maupun non tunai melakukan sok check menginput data produksi membuat laporan data produksi setiap bulan menginput data produksi membuat laporan data produksi setiap bulan menginput data produksi membuat laporan data produksi setiap bulan menginput data produksi membuat laporan data produksi setiap bulan menginput data produksi membuat laporan data produksi setiap bulan
13198;marketing dan desain marketing dan desain digital designer desainer grafis desain grafis;mendesain brosur banner roll banner banner bill board papan nama dan berbagai peratalan yang dibutuhkan kantor serta memasarkannya mendesain logo kaos kemeja seragam dan berbagai macam hal yang berhubungan dengan pakaian serta memasarkannya membuat desain banner website logo layout instagram layout aplikasi dan lain sebagainya membuat desain menarik sebuah piala premium gift baju boneka dan lain sebagainya membuat desain katalog edit brand brosur banner kartunama dan lain sebagainya
